Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
BALL,2020-08-06,-0.0059414518589717,-0.0022819217530611,0.0832107815968727,0.2871863661195549,0.2140551244137844,0.13371732299051084
BALL,2020-11-05,-0.0303413412891661,-0.0092530576763249,-0.0983735456124405,0.335591488313748,0.3897538359373435,0.1979814921241834
BALL,2021-02-04,-0.0128660631458198,-0.002036460634826,-0.1336847686896813,0.2488292998408078,0.4631917775158496,0.1926096137125823
BALL,2021-05-06,0.0107143111560456,-0.0235081324754923,-0.107639798638577,0.3539348495409044,0.3860081295778451,0.20819666336201778
BALL,2021-08-05,0.1007159058557311,0.1578810187935716,0.1878966254395052,0.3532106558105939,0.5705551615192048,0.2938943575954467
BALL,2021-11-04,-0.003766602166397,0.0240833301855804,0.0121768815810321,0.1826303938128835,0.41568449222979,0.08093675717909671
BALL,2022-01-27,0.0098315030518166,-0.0354594745710911,-0.1119047153172352,0.303023663673069,0.5278436566049176,0.3147799327867975
BALL,2022-05-05,-0.0917266141854614,-0.0753971037898088,-0.127952040598983,0.2403020991516241,0.3586816785760122,0.18044574907588606
BALL,2022-08-04,-0.0657430821514279,0.0351479726837884,0.0568774664902881,0.0838967343407445,0.0398605623965547,-0.04911358374608876
BALL,2022-11-03,-0.0325583259659828,0.028976734576346,0.0494137342985592,0.1056889074213709,0.2026323375765249,0.1287132168488101
BALL,2023-02-02,-0.0444007043396457,-0.0115566969911929,-0.0241264788844955,0.3385087213436463,0.3862991677911094,0.15555243445692885
BALL,2023-05-04,-0.0537674162326777,-0.1102532834124931,-0.0974390762590866,0.2719248817424198,0.3079127295890077,0.1219481981981982
BALL,2023-08-03,-0.0473305284304433,-0.0340708225346383,-0.112549483640805,0.160815376089814,0.2771542810987161,0.115855527878904
BALL,2023-11-02,0.017840541892056,0.0358022969786748,0.1370004136163193,0.3265219195877544,0.3800004520844012,0.2526838222829588
BALL,2024-02-01,-0.0456648008184602,0.0259581007728077,0.0470579536935247,0.5123681155998406,0.4917387658909233,0.08056666132210631
BALL,2024-04-26,-0.005250845077358,-0.0420231413397711,-0.0902372361026628,0.4112625221060975,0.2401743916018617,0.15304521258113388
BALL,2024-08-01,0.0164642070854659,-0.043784660395209,-0.0132979045711819,0.3480127968131252,0.4664215371365127,0.16444545809493777
BALL,2024-10-31,0.0056372700538751,0.0241942656947346,-0.0355989077078628,0.388795811471011,0.4262339513766157,0.04961637825844257
