Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-04-08,98.27,0.0140336394592921,0,0.0010474498226595852
2019-04-09,97.18,-0.0110918896916657,0,-0.0060674708281390766
2019-04-10,98.01,0.0085408520271661,0,0.0034778681120144483
2019-04-11,97.98,-0.0003060912151821,0,3.808587325715429e-05
2019-04-12,99.58,0.0163298632373953,0,0.006609378462220095
2019-04-15,98.16,-0.0142598915444868,0,-0.0006294261903205811
2019-04-16,99.25,0.0111043194784026,0,0.000509364739569973
2019-04-17,98.59,-0.0066498740554156,0,-0.002273774879087531
2019-04-18,98.51,-0.0008114413226493,0,0.0015790653174507785
2019-04-22,98.04,-0.0047710892295198,0,0.001012037741434657
2019-04-23,99.26,0.0124439004487963,0,0.008841219132246891
2019-04-24,101.0,0.0175297199274631,0,-0.0021917864252406494
2019-04-25,99.93,-0.0105940594059404,0,-0.00036894696387390624
2019-04-26,99.96,0.0003002101471027,0,0.004685305365033532
2019-04-29,99.53,-0.0043017206882752,0,0.0010714723049920494
2019-04-30,100.49,0.0096453330654073,0,0.0009514004274504551
2019-05-01,99.18,-0.013036122997313,0,-0.007502130129708795
2019-05-02,100.18,0.0100826779592659,0,-0.0021239991380873624
2019-05-03,100.85,0.0066879616689956,0,0.00963832295922562
2019-05-06,99.46,-0.0137828458106098,0,-0.004471014787957861
2019-05-07,97.81,-0.0165895837522621,0,-0.016511677868827124
2019-05-08,96.63,-0.0120642061138943,0,-0.0016053813214057522
2019-05-09,96.28,-0.0036220635413432,0,-0.0030214418181440106
2019-05-10,96.67,0.0040506855006232,0,0.0037203210344445292
2019-05-13,91.95,-0.0488259025550843,0,-0.024130630943291487
2019-05-14,93.61,0.01805328983143,0,0.008016017810211773
2019-05-15,94.68,0.0114304027347507,0,0.00583895766667486
2019-05-16,93.76,-0.0097169412758766,0,0.008895249319527565
2019-05-17,91.68,-0.0221843003412969,0,-0.005837319908772343
2019-05-20,89.91,-0.0193062827225132,0,-0.006749360908960611
2019-05-21,91.86,0.0216883550216884,0,0.008495790833841
2019-05-22,91.67,-0.0020683649031134,0,-0.002824365652362215
2019-05-23,90.85,-0.0089451292680267,0,-0.011914139769699683
2019-05-24,90.19,-0.007264722069345,0,0.001353534780883292
