Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
DKNG,2020-05-15,0.3846153846153845,8534926160,-0.0300790698059199,0.3270633744629715,0.0168758993197081,0.4040950109016839,0.3988170174350597,0.1516723425846554
DKNG,2020-08-14,0.46666666666666673,12068568999,0.0396163287580089,-0.0575537861741128,0.2669933378723794,0.5217623012628655,0.3094111821622204,0.2116913731727637
DKNG,2020-11-13,0.5555555555555555,15246756000,0.0797143787253903,0.0787946491786685,-0.2620069903004786,0.3537367943740763,0.2897843405938197,0.3042823274294443
DKNG,2021-02-26,0.2105263157894737,24465620130,0.0635699168438337,0.1032105126495887,-0.1963255153134609,0.3933023159360455,0.1485944303113811,0.1984618043553404
DKNG,2021-05-07,0.7058823529411764,19438063740,-0.0859925204709321,-0.0524231045367686,0.0244243762767102,0.3804844196408635,0.3881084223409701,0.2814749037458012
DKNG,2021-08-06,0.24590163934426235,20834311960,0.0117789644150202,0.0162161525589685,0.1629045343640614,0.5342987938579473,0.4009395433963965,0.334199596755461
DKNG,2021-11-05,0.2162162162162162,17615675280,-0.034667266646814,-0.1618752845466787,-0.3094777623875654,0.5821197355846792,0.5243022457231054,0.2989094428158393
DKNG,2022-02-18,-0.02439024390243891,7107331140,0.2788071484573535,0.1705476822467966,0.2987504893831459,0.4929451911350749,0.47412172588322,0.3164739873961409
DKNG,2022-05-06,-0.06557377049180334,5746983950,-0.1028704666096831,0.2926016371373062,0.4155559152980542,0.3495856094921495,0.5044141999555081,0.2758196853127982
DKNG,2022-08-05,-0.42528735632183906,8052024760,0.0380883372572896,-0.0300065090736766,0.1934250425541482,0.2624811020605772,0.3687630847286585,0.2291099343906597
DKNG,2022-11-04,-0.0654205607476636,5096003250,0.0393616737354415,0.1486133527978488,-0.0707270875873258,0.3738548455411394,0.3940955278296876,0.295926859632742
DKNG,2023-02-17,-0.1451612903225806,9347363740,-0.0470629255949982,-0.0648432509030907,-0.1316889137920158,0.28572673274677,0.2973801925789652,0.2879392074290033
DKNG,2023-05-05,0.023529411764705903,11366578560,-0.0143258368482476,-0.0529289143817437,-0.1244814072158496,0.4631884805810319,0.3672632696785594,0.1865594410873939
DKNG,2023-08-04,-0.2916666666666666,14751895020,-0.1219987588725262,-0.1778598019420293,-0.15614551288952,0.3896827963648082,0.5049415247214342,0.3040249091825919
DKNG,2023-11-03,-0.11594202898550719,15798375000,0.0462465088132267,0.0260054403311593,-0.2200994385752665,0.3102292813501446,0.3348967272439294,0.2249449036265523
DKNG,2024-02-16,-2.666666666666667,21136341960,-0.1252202007256898,-0.0497505492949843,-0.0780679906359299,0.4839761577512989,0.2925426325491657,0.3134754547578754
DKNG,2024-05-03,0.043006640475611,20044618740,-0.0043999243459705,-0.0259022892529752,-0.1474204274224998,0.4200446118417798,0.2716232497062801,0.2620586433971023
DKNG,2024-08-02,11.307692307692308,15673149600,-0.0068063206919336,-0.0035672646868311,0.0921189412977501,0.1731635246327924,0.2082772689238513,0.0807894796176046
DKNG,2024-11-08,0.42857142857142855,19642832400,0.0562257072810512,0.1086862602183875,0.041794431767868,0.3886081936862043,0.3480702402104338,0.1369260062879156
