Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-05-14,21.23,0.0037825059101654,0,0.008016017810211773
2019-05-15,21.17,-0.0028261893546867,0,0.00583895766667486
2019-05-16,21.31,0.0066131317902691,0,0.008895249319527565
2019-05-17,21.44,0.0061004223369311,0,-0.005837319908772343
2019-05-20,21.66,0.0102611940298507,0,-0.006749360908960611
2019-05-21,22.25,0.0272391505078486,0,0.008495790833841
2019-05-22,22.0,-0.0112359550561798,0,-0.002824365652362215
2019-05-23,21.43,-0.0259090909090908,0,-0.011914139769699683
2019-05-24,21.16,-0.0125991600559962,0,0.001353534780883292
2019-05-28,21.25,0.0042533081285445,0,-0.008375618352052028
2019-05-29,20.76,-0.0230588235294116,0,-0.0069119572935958384
2019-05-30,20.24,-0.0250481695568401,0,0.0020984398243635294
2019-05-31,20.36,0.0059288537549406,0,-0.013195355808466647
2019-06-03,20.53,0.0083497053045187,0,-0.0027652013400870645
2019-06-04,20.98,0.0219191427179736,0,0.021432345278653342
2019-06-05,21.27,0.0138226882745471,0,0.008161896642135735
2019-06-06,21.28,0.000470145745181,0,0.006135555437609463
2019-06-07,21.01,-0.012687969924812,0,0.010497663083042452
2019-06-10,20.84,-0.0080913850547359,0,0.0046600819951694294
2019-06-11,21.23,0.0187140115163149,0,-0.00034987685027698667
2019-06-12,20.93,-0.0141309467734338,0,-0.002037619727485618
2019-06-13,20.73,-0.0095556617295747,0,0.004097449858325275
2019-06-14,20.65,-0.0038591413410516,0,-0.0016115422390061696
2019-06-17,20.21,-0.0213075060532687,0,0.0009317695307899942
2019-06-18,20.5,0.0143493320138545,0,0.009717372571954597
2019-06-19,20.69,0.0092682926829268,0,0.002985176934281464
2019-06-20,21.01,0.015466408893185,0,0.009472195075278522
2019-06-21,20.94,-0.0033317467872441,0,-0.0012592326804730103
2019-06-24,20.75,-0.0090735434574976,0,-0.001731933325650914
2019-06-25,20.3,-0.0216867469879518,0,-0.009496324715228988
2019-06-26,19.34,-0.0472906403940887,0,-0.0012339839170762978
2019-06-27,19.32,-0.0010341261633919,0,0.003823212459416858
2019-06-28,19.67,0.0181159420289855,0,0.005757422425228809
2019-07-01,19.77,0.0050838840874427,0,0.007672277820080398
2019-07-02,19.65,-0.0060698027314113,0,0.0029281490252435205
2019-07-03,19.58,-0.003562340966921,0,0.007672358989710748
2019-07-05,19.58,0.0,0,-0.0018058494836139527
2019-07-08,19.49,-0.0045965270684371,0,-0.004835457345313876
2019-07-09,19.48,-0.000513083632632,0,0.0012365799156572876
2019-07-10,19.49,0.000513347022587,0,0.004510627158405667
2019-07-11,19.45,-0.0020523345305284,0,0.002285278994477169
2019-07-12,19.62,0.0087403598971722,0,0.004620138604158219
2019-07-15,19.59,-0.0015290519877676,0,0.00017585947169163063
2019-07-16,19.09,-0.0255232261357836,0,-0.0034037753375577573
2019-07-17,19.3,0.0110005238344683,0,-0.006531204644412147
2019-07-18,19.21,-0.0046632124352331,0,0.0035819355184592006
