Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
J,2020-02-04,-0.0045329264417952,0.0383509380078825,0.112194904859178,0.5554207058000397,0.7137809208935987,0.3530339997086441,0.7137809208935987
J,2020-05-07,-0.0442596538050592,-0.0285972942448187,0.046871977538282,0.2428084077397631,0.4408692215768278,0.2299509104927624,0.44086922157682784
J,2020-08-03,-0.0159669308642906,-0.0312403445623815,0.0150929393516126,0.4339650263850818,0.5062203701238053,0.3062554712143648,0.5062203701238053
J,2020-11-24,0.0058326399638798,0.0076229591528072,0.0002307220668867,0.289421785429401,0.3634883866915557,0.1342951281113093,0.3634883866915557
J,2021-02-09,0.0180482785553489,0.0545675631908413,0.0720925378240291,0.5593423582438334,0.692308791154301,0.404020596593082,0.692308791154301
J,2021-05-10,-0.012174074708124,-0.0376938093364125,-0.1310049954159763,0.5879541038650168,0.5677914188786428,0.2615423783403706,0.5677914188786428
J,2021-08-03,-0.0096480590080153,0.0357889394466309,0.017317304175311,0.4140956164121283,0.6644268774065801,0.4822461407869537,0.6644268774065801
J,2021-11-23,0.0256957115607183,0.005516617061438,-0.0229438552137704,0.4910267997410013,0.559952154208447,0.4598829532725832,0.559952154208447
J,2022-02-08,0.0066042600900903,0.0293767751686202,0.1215882594263677,0.5381984017950731,0.3619424253520331,0.4891412533698392,0.36194242535203314
J,2022-05-03,0.0060284099016055,0.0023595129400176,-0.0149682308844525,0.4505638699590719,0.6120278218690323,0.3525158013020901,0.6120278218690323
J,2022-08-01,-0.0153589153471556,-0.0142498515251898,-0.0638763481149892,0.6210498985214842,0.6649802048204052,0.3977162903953734,0.6649802048204052
J,2022-11-21,-0.003992461942484,0.0049476926332813,0.0620887531354327,0.4324496197465947,0.5799569141445831,0.3900598522882867,0.5799569141445831
J,2023-02-07,0.010725593270327,0.0212633044084942,-0.0147019812047089,0.502412880271161,0.4331121531148333,0.3864738758139773,0.43311215311483336
J,2023-05-09,-0.0300218452527003,-0.0242941529741164,-0.0612999448986952,0.6268432740311998,0.6036693097938736,0.3272465091299678,0.6036693097938736
J,2023-08-08,0.0278680604822767,0.0551620967510745,0.0563402932829687,0.5531638402595268,0.4965080719647823,0.3635210155572146,0.49650807196478236
J,2023-11-21,-0.0278126498135148,0.0137158605786147,-0.055717588154582,0.552645255906284,0.5813684659509993,0.3160357711750077,0.5813684659509993
J,2024-02-06,0.0292188895279993,0.0266695994863277,0.0319123325943743,0.4026162164750685,0.5330808323867493,0.3358427482148221,0.5330808323867493
J,2024-05-07,-0.0211669679221705,-0.0375404058776905,-0.0301286712875392,0.6412926001242609,0.6080390080046063,0.431642450392934,0.6080390080046063
J,2024-08-06,0.0034104182123598,-0.0080237736232775,-0.0198490682985416,0.5472912300796416,0.5890128339547412,0.5459802672524114,0.5890128339547412
J,2024-11-19,0.0207790384228862,0.0106176579179808,-0.0062408663899307,0.4741710603028862,0.7001186354264156,0.4168818752564311,0.7001186354264156
