Stock_Name,Earnings_Call_Date,Earnings_Surprise,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
KDP,2020-04-27,0.07407407407407393,0.0178674012147317,0.0347161832276864,0.0374287350213705,0.1292345794446214,0.274067184069562,0.1638575703020422
KDP,2020-07-30,0.03125000000000003,-0.0391937339227343,-0.0471834485433343,-0.0943486292817252,0.3029118915238518,0.4448603715256595,0.2681668701454727
KDP,2020-10-29,0.054054054054054106,0.0132399917262079,0.0343101406419781,0.055982467089008,0.2823941983067728,0.3669745336870434,0.3544882433738893
KDP,2021-02-25,-0.025000000000000022,-0.0092330207314439,0.0605134078088866,0.0944192983275688,0.5118401989977053,0.5645547194163322,0.2980961190510073
KDP,2021-04-29,0.06451612903225812,-0.0040333524048146,-0.0056610008375212,-0.0557328395638254,0.389961904367179,0.5411446500075712,0.2220060309754572
KDP,2021-07-29,0.027027027027027053,-0.0055810580268648,-0.0256709938764207,-0.0239215575425204,0.3087593992376478,0.6082709862008466,0.2682251608653798
KDP,2021-10-28,0.0,0.0102543156539903,0.0007882883270527,-0.006831299376738,0.504152808969501,0.4312587579187557,0.1696253154111056
KDP,2022-02-24,0.0,0.0382238632171895,0.0175025456864666,-0.0012226619220883,0.2185602595881841,0.4351664395590414,0.2502117184921764
KDP,2022-04-28,0.0,-0.0126703527404007,-0.0030107479211768,-0.0550016960986669,0.3392133822673495,0.4828037561508803,0.2981663058769118
KDP,2022-07-28,0.0,-0.0015907088040315,-0.0032898222076034,-0.0100283351314102,0.3511527670447358,0.4447816935986614,0.1524595409917732
KDP,2022-10-27,0.0,-0.0139004890950136,-0.0282949331556271,-0.0407436938197274,0.4397848381782751,0.6424455186802523,0.2414962251470528
KDP,2023-02-23,-0.01960784313725492,-0.0376478575157741,-0.0300122848157804,-0.0229773538676304,0.4559962883706294,0.6136786749876026,0.3585269672460789
KDP,2023-04-27,0.030303030303030328,-0.0259877328154634,-0.0264426289676882,-0.0706369110537245,0.2954324439376044,0.2227452126858267,0.2356694570571214
KDP,2023-07-27,0.049999999999999906,0.0128426830389826,0.0063349214986118,0.0326231239562659,0.418989629679576,0.5965669491352179,0.3252506037172704
KDP,2023-10-26,0.02127659574468087,0.0284909961392463,0.0501610854218215,0.0951749705435378,0.522464036707021,0.6159432422063034,0.4082419726924005
KDP,2024-02-22,0.018518518518518535,-0.0284286097359591,-0.0533767358274663,0.0095303693550617,0.5598701308076163,0.6715764470788343,0.4408463896966448
KDP,2024-04-25,0.0857142857142858,0.0003687397630596,0.0077281966654538,0.0448798525312836,0.6397543402890168,0.7653314009430292,0.5180231888101707
KDP,2024-07-25,0.0,0.0248807298366145,0.0338278309038564,0.0853606766279051,0.6277457934791443,0.8240894464214896,0.4353857125239277
KDP,2024-10-24,0.0,-0.0662834771933,-0.0796919133314871,-0.1240477637402983,0.5842828077898713,0.8277550636126301,0.4178442130217593
