Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-01-02,51.57,,0,
2019-01-03,50.46,-0.0215241419429901,0,-0.02475667621502542
2019-01-04,51.55,0.0216012683313515,0,0.0343356931888279
2019-01-07,51.93,0.0073714839961203,0,0.00701043468644591
2019-01-08,52.37,0.008472944348161,0,0.009695296290921585
2019-01-09,53.0,0.0120297880465916,0,0.0040980263439003295
2019-01-10,53.61,0.0115094339622641,0,0.004518445159692908
2019-01-11,53.53,-0.0014922589069202,0,-0.00014634296629478794
2019-01-14,53.25,-0.0052307117504203,0,-0.005257562801876614
2019-01-15,53.1,-0.0028169014084507,0,0.010721711756711327
2019-01-16,52.98,-0.0022598870056498,0,0.002221966823736654
2019-01-17,53.51,0.0100037750094374,0,0.007591452926111408
2019-01-18,54.96,0.0270977387404223,0,0.013183052853609212
2019-01-22,54.38,-0.0105531295487627,0,-0.014157284018107563
2019-01-23,53.86,-0.0095623390952556,0,0.0022028941471379238
2019-01-24,54.41,0.0102116598588932,0,0.001375677416909804
2019-01-25,55.19,0.0143356000735159,0,0.0084887201825663
2019-01-28,53.87,-0.0239173763362927,0,-0.0078468605052614
2019-01-29,54.75,0.016335622795619,0,-0.001456209694195909
2019-01-30,56.7,0.0356164383561643,0,0.015549242424242493
2019-01-31,56.51,-0.0033509700176367,0,0.008597377892989533
2019-02-01,57.53,0.0180499026720935,0,0.000898635405495396
2019-02-04,58.39,0.0149487224057014,0,0.006776204217207926
2019-02-05,57.74,-0.011132043158075,0,0.004708481505539597
2019-02-06,57.84,0.0017319016279875,0,-0.002224495014062744
2019-02-07,57.26,-0.0100276625172891,0,-0.009357119061652264
2019-02-08,57.6,0.0059378274537198,0,0.0006762624489569102
2019-02-11,57.76,0.0027777777777777,0,0.0007090417596054
2019-02-12,58.75,0.0171398891966758,0,0.012890250202966858
2019-02-13,59.05,0.0051063829787234,0,0.003023976857468691
2019-02-14,57.79,-0.0213378492802709,0,-0.0026516238471793185
2019-02-15,59.38,0.0275134106246757,0,0.010878709851296353
2019-02-19,59.02,-0.0060626473560121,0,0.0014987750396311394
2019-02-20,59.62,0.0101660454083361,0,0.0017771318387196366
2019-02-21,58.89,-0.0122442133512243,0,-0.003526412180845262
2019-02-22,59.59,0.0118865681779589,0,0.006411088047050706
2019-02-25,59.77,0.0030206410471556,0,0.0012317960947767492
2019-02-26,59.41,-0.0060230885059395,0,-0.0007903837831845228
2019-02-27,59.58,0.0028614711328058,0,-0.0005440423780378456
2019-02-28,59.25,-0.0055387713997985,0,-0.0028255466662847617
2019-03-01,59.46,0.0035443037974682,0,0.0068953381050032014
2019-03-04,59.17,-0.0048772283888328,0,-0.0038806002090102654
2019-03-05,58.88,-0.0049011323305728,0,-0.0011314768996100177
2019-03-06,58.85,-0.0005095108695651,0,-0.0065241159285216455
2019-03-07,58.51,-0.0057774001699235,0,-0.008125710368218741
2019-03-08,57.9,-0.0104255682789267,0,-0.0021317385309919112
2019-03-11,58.63,0.012607944732297,0,0.014666049353461608
2019-03-12,58.52,-0.0018761726078798,0,0.0029533287823806376
2019-03-13,59.05,0.0090567327409432,0,0.006949618845646821
2019-03-14,58.66,-0.0066045723962743,0,-0.0008680432029370966
2019-03-15,58.53,-0.002216160927378,0,0.004984902865607044
2019-03-18,59.8,0.021698274389202,0,0.0037059607153993035
2019-03-19,59.48,-0.0053511705685618,0,-0.0001306063665308388
2019-03-20,59.36,-0.0020174848688634,0,-0.0029443226469249018
2019-03-21,60.21,0.0143194070080863,0,0.010852515552911779
2019-03-22,58.12,-0.0347118418867298,0,-0.018974527826038257
2019-03-25,57.79,-0.005677907777013,0,-0.0008390729493592541
2019-03-26,58.49,0.012112822287593,0,0.007182778484540853
2019-03-27,58.38,-0.0018806633612583,0,-0.004644380264399728
2019-03-28,58.73,0.0059952038369304,0,0.0035895443381801506
2019-03-29,59.52,0.0134513877064532,0,0.006734293751598397
2019-04-01,60.97,0.0243615591397847,0,0.01156858594411525
2019-04-02,60.79,-0.002952271608988,0,1.7438676892522764e-05
2019-04-03,61.52,0.0120085540384933,0,0.0021484075277968806
2019-04-04,61.83,0.005039011703511,0,0.0020846384074615365
2019-04-05,61.84,0.0001617337861881,0,0.004636398681665099
2019-04-08,62.34,0.008085381630013,0,0.0010474498226595852
2019-04-09,61.56,-0.0125120307988451,0,-0.0060674708281390766
2019-04-10,61.84,0.00454840805718,0,0.0034778681120144483
2019-04-11,62.12,0.004527813712807,0,3.808587325715429e-05
2019-04-12,62.68,0.0090148100450739,0,0.006609378462220095
2019-04-15,62.42,-0.0041480536056157,0,-0.0006294261903205811
2019-04-16,62.75,0.005286767061839,0,0.000509364739569973
2019-04-17,62.86,0.0017529880478086,0,-0.002273774879087531
2019-04-18,63.04,0.0028635062042634,0,0.0015790653174507785
2019-04-22,63.23,0.0030139593908629,0,0.001012037741434657
2019-04-23,63.6,0.0058516526965048,0,0.008841219132246891
2019-04-24,63.05,-0.0086477987421383,0,-0.0021917864252406494
2019-04-25,61.97,-0.0171292624900871,0,-0.00036894696387390624
2019-04-26,62.35,0.0061319993545263,0,0.004685305365033532
2019-04-29,61.78,-0.0091419406575782,0,0.0010714723049920494
2019-04-30,61.71,-0.001133052767886,0,0.0009514004274504551
2019-05-01,61.1,-0.0098849457138227,0,-0.007502130129708795
2019-05-02,60.94,-0.0026186579378069,0,-0.0021239991380873624
2019-05-03,61.81,0.0142763373810306,0,0.00963832295922562
2019-05-06,60.98,-0.013428247856334,0,-0.004471014787957861
2019-05-07,58.71,-0.0372253197769759,0,-0.016511677868827124
2019-05-08,57.63,-0.0183955033214102,0,-0.0016053813214057522
2019-05-09,58.07,0.0076349123720285,0,-0.0030214418181440106
2019-05-10,58.18,0.0018942655415876,0,0.0037203210344445292
2019-05-13,56.19,-0.0342041938810587,0,-0.024130630943291487
2019-05-14,56.64,0.0080085424452749,0,0.008016017810211773
2019-05-15,56.99,0.0061793785310735,0,0.00583895766667486
2019-05-16,57.51,0.0091244077908403,0,0.008895249319527565
2019-05-17,56.77,-0.0128673274213179,0,-0.005837319908772343
2019-05-20,55.97,-0.0140919499735776,0,-0.006749360908960611
2019-05-21,57.22,0.0223333928890476,0,0.008495790833841
2019-05-22,56.64,-0.0101363159734357,0,-0.002824365652362215
2019-05-23,54.9,-0.0307203389830509,0,-0.011914139769699683
2019-05-24,54.77,-0.0023679417122038,0,0.001353534780883292
2019-05-28,53.6,-0.0213620595216359,0,-0.008375618352052028
2019-05-29,53.42,-0.0033582089552238,0,-0.0069119572935958384
2019-05-30,53.6,0.0033695245226506,0,0.0020984398243635294
2019-05-31,52.76,-0.0156716417910448,0,-0.013195355808466647
2019-06-03,53.06,0.005686125852919,0,-0.0027652013400870645
2019-06-04,54.71,0.0310968714662644,0,0.021432345278653342
2019-06-05,55.43,0.0131602997623834,0,0.008161896642135735
2019-06-06,54.87,-0.0101028324012267,0,0.006135555437609463
2019-06-07,55.78,0.0165846546382359,0,0.010497663083042452
2019-06-10,56.61,0.0148798852635352,0,0.0046600819951694294
2019-06-11,55.58,-0.0181946652534887,0,-0.00034987685027698667
2019-06-12,54.95,-0.0113350125944583,0,-0.002037619727485618
2019-06-13,55.36,0.0074613284804367,0,0.004097449858325275
2019-06-14,54.98,-0.006864161849711,0,-0.0016115422390061696
2019-06-17,54.9,-0.0014550745725717,0,0.0009317695307899942
2019-06-18,56.02,0.0204007285974499,0,0.009717372571954597
2019-06-19,55.6,-0.0074973223848625,0,0.002985176934281464
2019-06-20,57.38,0.0320143884892085,0,0.009472195075278522
2019-06-21,57.48,0.0017427675148133,0,-0.0012592326804730103
2019-06-24,57.29,-0.0033054975643701,0,-0.001731933325650914
2019-06-25,57.19,-0.0017455053237912,0,-0.009496324715228988
2019-06-26,57.68,0.0085679314565483,0,-0.0012339839170762978
2019-06-27,57.9,0.0038141470180304,0,0.003823212459416858
2019-06-28,58.44,0.0093264248704663,0,0.005757422425228809
2019-07-01,58.43,-0.0001711156741956,0,0.007672277820080398
2019-07-02,58.07,-0.0061612185521136,0,0.0029281490252435205
2019-07-03,57.97,-0.0017220595832616,0,0.007672358989710748
2019-07-05,57.28,-0.0119027082973951,0,-0.0018058494836139527
2019-07-08,56.8,-0.0083798882681564,0,-0.004835457345313876
2019-07-09,56.28,-0.0091549295774646,0,0.0012365799156572876
2019-07-10,55.79,-0.0087064676616915,0,0.004510627158405667
2019-07-11,56.2,0.0073489872737049,0,0.002285278994477169
2019-07-12,57.54,0.0238434163701066,0,0.004620138604158219
2019-07-15,57.54,0.0,0,0.00017585947169163063
2019-07-16,58.02,0.008342022940563,0,-0.0034037753375577573
2019-07-17,56.64,-0.0237849017580145,0,-0.006531204644412147
