Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
INTC,2020-04-23,-0.036610321193506,-0.0364616658031098,-0.0974281956498852,0.4224170107983571,0.5169595311236818,0.5009997609981041,0.5169595311236818
INTC,2020-07-23,-0.1862852402314008,-0.249222956459291,-0.2716545048790232,0.4600639983429094,0.2504819443440283,0.1794990627835798,0.2504819443440283
INTC,2020-10-22,-0.1389474879064643,-0.1513058688373816,-0.0359543832953041,0.4181925838455114,0.2281178796992582,0.237271510957324,0.22811787969925823
INTC,2021-01-22,-0.0259166795431439,0.0489248185893156,0.1478366877725581,0.631030816551644,0.5135314313162049,0.4069404945042063,0.5135314313162049
INTC,2021-04-23,-0.0306555570794764,-0.0424422874369898,-0.0650371569949647,0.5792395026792984,0.5455037568109523,0.3473306466927399,0.5455037568109523
INTC,2021-07-22,-0.0595516981249863,-0.0454960464984857,-0.0741533501813854,0.4999701328777601,0.6388963571963417,0.4393589662626606,0.6388963571963417
INTC,2021-10-21,-0.1394031525260778,-0.1009797498378202,-0.0264076293840413,0.6093187302766563,0.6607239030538777,0.4269940641385601,0.6607239030538777
INTC,2022-01-26,-0.0889322052974604,-0.0649937752784358,-0.0228359559798769,0.6111675018531246,0.6330248534736576,0.5052773937484173,0.6330248534736576
INTC,2022-04-28,-0.0078754458623862,0.0151132207504512,-0.0454752188515518,0.5353598073446805,0.6496453377524664,0.5339066289318487,0.6496453377524664
INTC,2022-07-28,-0.0980240100834414,-0.1292717044201501,-0.2091872457585374,0.3944291092325093,0.3948648495910244,0.2925683117868661,0.39486484959102447
INTC,2022-10-27,0.0733126322344945,0.12872103847461,0.1391390495687514,0.5559965227253723,0.4270811290033903,0.1738040319239207,0.42708112900339035
INTC,2023-01-26,-0.0585233814337763,-0.0469525844812293,0.0597668669178436,0.3276582987811824,0.2165549606559703,0.2521714801625623,0.21655496065597038
INTC,2023-04-27,0.0039335041330427,-0.0251932616011267,0.0104521213389179,0.5021780529253765,0.512156452273949,0.2997579677337854,0.512156452273949
INTC,2023-07-27,0.0242691859802559,0.0220964482487082,0.1049520585220802,0.6679186199296037,0.6250177038064788,0.4792694254820368,0.6250177038064788
INTC,2023-10-26,0.0939487647461335,0.0661970719852892,0.0756460707135502,0.7282088302550769,0.7724740058659183,0.524979217524284,0.7724740058659183
INTC,2024-01-25,-0.1495821481093523,-0.1887691860398136,-0.2131644650572314,0.6560501914547356,0.6952544169850354,0.4999601946455548,0.6952544169850354
INTC,2024-04-25,-0.135043988702299,-0.1923701135742735,-0.2105013152551173,0.587122866715389,0.6986099132480925,0.5279799747661789,0.6986099132480925
INTC,2024-08-01,-0.2776629788769265,-0.257905558421366,-0.2191955479773672,0.572066367825436,0.4530731853336383,0.217362883052977,0.45307318533363833
INTC,2024-10-31,0.0717599963608927,0.1261434657758019,0.0200693182395487,0.4922746311018707,0.4658398032188415,0.2803733594195809,0.46583980321884155
