Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
MU,2019-12-18,0.0212765957446808,,0.0199362792195756,-0.010245987776055,-0.0508237985768126,0.409873158738984,0.4986201148813128,0.1625429872731728
MU,2020-03-25,0.2162162162162162,47217500000.0,-0.0966669064036698,-0.1196691366896362,-0.2503979269532833,0.1926105349016941,0.3561743106477517,0.0722006641850239
MU,2020-06-29,0.0649350649350648,54605650000.0,-0.022054225330751,-0.0623020199229983,-0.1826019477643878,0.4396882136444179,0.2712934910538795,0.1923123942360001
MU,2020-09-29,0.090909090909091,56541650000.0,-0.0829578377182401,-0.0269727182878384,0.056918944814868,0.3790978399964509,0.2869897365435596,0.1263701262667612
MU,2021-01-07,0.0985915492957747,88603200000.0,0.0026127162025551,0.0222940294223484,0.0487280285342058,0.3525913485935244,0.5319081059990903,0.3458522987627921
MU,2021-03-31,0.031578947368421,98883410000.0,0.0176681238408704,-0.0755340149443065,-0.3065084296963765,0.3398092315998915,0.6085224912808304,0.2896691995782104
MU,2021-06-30,0.0930232558139534,95432540000.0,-0.067131248089884,-0.1254020127407848,-0.2548274031706017,0.4997157409838294,0.7037962350065757,0.3282238299671812
MU,2021-09-28,0.03862660944206,81798900000.0,-0.0180502246523421,-0.0483956514390575,-0.000306511504337,0.4466047353935424,0.5629842317048329,0.3005277485020303
MU,2021-12-20,0.0236966824644551,91791570000.0,0.1128716157931132,0.1318658832801837,0.0942384127537684,0.454206740311153,0.5782039995501344,0.3721380322311332
MU,2022-03-29,0.0862944162436549,91239600000.0,-0.0543735531429184,-0.0792662246529356,-0.0408994221849113,0.5671268252194928,0.926556097565583,0.4163043789130745
MU,2022-06-30,0.0658436213991768,60642160000.0,0.0103476124968669,0.0683826428912842,-0.0608509774441107,0.2586417891675465,0.1897218589045356,0.2319323539174076
MU,2022-09-29,0.1153846153846153,54510900000.0,0.0193346091887726,0.1085395485069204,0.1370081076615821,0.1683930432547997,-0.2046740697284289,0.160860453676028
MU,2022-12-21,1.9455081001472752,55848290000.0,-0.001843780955329,0.1161776270859714,0.1272639640868747,0.0145021960581129,-0.2894876294811972,0.0685718552383847
MU,2023-03-28,1.8939393939393936,64852320000.0,-0.0270224708257295,0.0081557967721183,-0.0470918262842339,0.118803498761219,0.1080645933981063,0.1221703449194155
MU,2023-06-28,-0.0949367088607595,73441650000.0,-0.0716001624525831,-0.0757997292026801,-0.0477347492346089,0.3918524982868971,0.031251861668826,0.2483007905481712
MU,2023-09-27,-0.0932203389830507,75031000000.0,-0.0073279738046514,-0.001130929838665,0.0168580418226368,0.3836549492518228,0.2812523127571354,0.2319756097560975
MU,2023-12-20,-0.0404040404040404,86873760000.0,0.0823048154359434,0.0576874023330915,0.0236140096207659,0.494715925259144,0.6345469734991932,0.2871461740616947
MU,2024-03-20,-2.6621814152287473,106260000000.0,0.2057243536471225,0.2781118427419771,0.1842366104934079,0.5243681035259938,0.7203028560210261,0.3247033979358497
MU,2024-06-26,0.2913976254946885,157592520000.0,-0.0806549433293143,-0.1381024686670945,-0.4083410414730685,0.743949792525827,0.766313036046096,0.4020922439436239
MU,2024-09-25,0.0535714285714284,106113160000.0,0.0722482361841295,0.0392343803804191,0.0767517727972414,0.860157121053479,0.9378171356192032,0.3309917919903046
