Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
ARE,2020-04-29,0.0,19441951210,-0.0117821165041797,-0.0460758839954178,-0.0487400224248337,0.1996919454716007,0.1565582582099552,0.0967859741507325
ARE,2020-07-27,2.4339622641509435,21278134360,0.0297165652965099,-0.0165296162595804,-0.095113074505605,0.1987158739723448,0.2571409058771494,0.1821254925532625
ARE,2020-10-27,0.0,20876718080,0.0033952096338593,-0.0017964819279556,0.0295244831933896,0.2561254149583322,0.305068397833288,0.1771760000237112
ARE,2021-02-02,0.0,22858120740,0.0218454367477398,0.0030235039545578,-0.0053293537456107,0.4285834018503499,0.418834737419158,0.2883587093354535
ARE,2021-04-27,0.0,25958308250,0.0194661673885933,0.0047858494238943,0.0781812660018767,0.3510559706205869,0.4306755870800211,0.2885715576923502
ARE,2021-07-27,0.0,30283940500,0.0027908834546723,0.0118712840398133,0.0130670605756483,0.331521635340244,0.4487844851706501,0.3825046323124885
ARE,2021-10-26,0.0,32073976000,-0.0304201276603261,-0.0341264785170347,-0.0306340914904361,0.3726830157540653,0.4339483058165386,0.3423803553508681
ARE,2022-02-01,0.0,30848137500,-0.0197197131021382,-0.0502463046796729,-0.01731229171778,0.3706070560150364,0.4135041413551893,0.3428053671884294
ARE,2022-04-26,0.0,30765127200,-0.0364865954966025,-0.1193520984198613,-0.1862995735996824,0.472611818306982,0.3651643897690972,0.2890235075263818
ARE,2022-07-26,0.0,25281585460,0.0191669093217371,0.0112033534779166,0.0295101026275817,0.3524617589364404,0.199598454774639,0.2787354436730728
ARE,2022-10-25,0.0,23189752530,0.0306907876877264,0.0525661595725622,0.044083101199864,0.2871589070487746,0.2089274824020902,0.2776542356932525
ARE,2023-01-31,0.0,27451820160,0.0289762442420099,0.0085161488634452,-0.2037441990871185,0.4238959802718097,0.2871609062790061,0.2545328599082524
ARE,2023-04-25,0.0,20595946560,0.0067431646269658,0.0047393216296671,-0.0045728985413419,0.3420956488270185,0.2600002961464213,0.2702348226145836
ARE,2023-07-25,0.0,21147637500,0.0258359824278777,0.0338591717850938,0.0377112206633,0.4823304077964398,0.3851437857304253,0.360681188757114
ARE,2023-10-24,0.0,16351644719,-0.0096702434051156,0.0312443989569465,0.2366677419981102,0.3278180703387068,0.2928980969348897,0.2348998173240991
ARE,2024-01-30,0.0,20840218800,-0.010901582064946,-0.0854663570975869,-0.0580839160706118,0.3290639676840961,0.5012690555013068,0.31026630012244
ARE,2024-04-23,0.0,20553833370,-0.035629818104636,-0.0311097654892138,-0.1002618977682703,0.3371955503509412,0.2998095423153823,0.2731530163687894
ARE,2024-07-23,0.0,20889561780,0.006934443367939,0.0372193692686612,0.0268526572225127,0.3389118529058065,0.2652330150718719,0.2431856970225526
ARE,2024-10-22,0.0,20297682260,-0.0335975501294084,-0.0183368102147586,-0.1339898661665804,0.4760151182650889,0.3317819562446895,0.1669906236052757
