Stock_Name,Earnings_Call_Date,Earnings_Surprise,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
CTSH,2020-05-08,0.0,-0.0975774859672511,-0.1028215690384891,-0.1080742668906233,0.1319414226630065,0.2458427086323001,0.1012716480277276
CTSH,2020-07-30,0.0,-0.0393650616589215,-0.0764015057155263,-0.0350231346294779,0.3202658077545885,0.2825890423077764,0.3429962382192528
CTSH,2020-10-28,0.07777777777777772,-0.0200073126822172,-0.0380288430400262,-0.048803248318615,0.2639626545503954,0.3794730532517994,0.2099696740720387
CTSH,2021-02-03,-0.25555555555555554,-0.0672145482491123,-0.0897017289813413,-0.1037121577393995,0.287101004143639,0.2053197160476946,0.3006804533517499
CTSH,2021-05-05,0.03191489361702131,-0.0966424532670146,-0.117111419128967,-0.1572512594021982,-0.0562723372249222,0.4754877407253005,0.2851599729476641
CTSH,2021-07-28,0.03125000000000003,0.0648141791850498,0.086739749637182,0.1397257076325274,0.3794419623153114,0.7157559037374488,0.3550977060322854
CTSH,2021-10-27,0.009523809523809532,-0.0052957427274579,0.0288916178753516,0.0532411254591664,0.3256918824088649,0.5041964953305997,0.2773569006158412
CTSH,2022-02-02,0.057692307692307744,0.0153173477595353,0.0303923209190002,0.0406529518881395,0.4278081578440418,0.6977805576565821,0.4149225920088996
CTSH,2022-05-04,0.03846153846153849,-0.0241494327624075,-0.0974685178418434,-0.1209030294080695,0.3476444187556863,0.5443851040767097,0.2976419588414634
CTSH,2022-07-27,0.05555555555555539,-0.0625771473285566,-0.065670763702115,-0.079949801603975,0.3391695724974183,0.6142171318011443,0.1708143507021091
CTSH,2022-11-02,0.008620689655172422,-0.1121136670628496,-0.0412082727333641,-0.039367836102626,0.038626949405972,0.2664424201068758,0.1640810140534582
CTSH,2023-02-02,-0.00980392156862746,-0.0359890581636744,-0.0193541922017769,-0.0800047883632353,0.5279240638033453,0.2565340163356624,0.3256851205687155
CTSH,2023-05-03,0.06730769230769236,0.0369753437065097,0.0533285604090278,0.0321241422214915,0.3174547446557842,0.1791558201190199,0.2259408480510536
CTSH,2023-08-02,0.11111111111111122,0.0885972096432358,0.0843332863037897,0.0846368298415527,0.3538794560883779,0.0316554411482259,0.3211958906692553
CTSH,2023-11-01,0.06422018348623838,-0.0055581163573435,-0.0044386459022823,0.0334846762330008,0.2980090724021167,0.0810253839063581,0.2864757566983675
CTSH,2024-02-06,0.13461538461538453,-0.0347394358246059,-0.0244180077720446,-0.1087833695278642,0.3843380103920593,0.1816102846172792,0.3059563328717491
CTSH,2024-05-01,0.009009009009009016,-0.0099442049469713,0.0091251386948794,-0.0587513810092015,0.5434559950389902,0.333553869212674,0.2775433137153208
CTSH,2024-07-31,0.04464285714285698,0.0003330034223039,0.0117304043378941,0.060287683546616,0.5024851529115321,0.5087803433371539,0.4396969601297841
CTSH,2024-10-30,0.08695652173913052,0.0173396711486405,0.0843687925779155,0.0564255158753674,0.5712504780087704,0.6323734987945265,0.4201116215598859
