Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return_x,Market_Return_y
2019-01-03,30.01,-0.0703221809169764,0,-0.0247566762150254,-0.02475667621502542
2019-01-04,31.23,0.040653115628124,0,0.0343356931888279,0.0343356931888279
2019-01-07,32.14,0.0291386487351905,0,0.0070104346864459,0.00701043468644591
2019-01-08,33.01,0.0270690728064715,0,0.0096952962909215,0.009695296290921585
2019-01-09,34.32,0.0396849439563768,0,0.0040980263439003,0.0040980263439003295
2019-01-10,34.67,0.0101981351981352,0,0.0045184451596929,0.004518445159692908
2019-01-11,34.9,0.0066339775021631,0,-0.0001463429662947,-0.00014634296629478794
2019-01-14,33.59,-0.037535816618911,0,-0.0052575628018766,-0.005257562801876614
2019-01-15,33.94,0.0104197677880319,0,0.0107217117567113,0.010721711756711327
2019-01-16,33.97,0.0008839127872717,0,0.0022219668237366,0.002221966823736654
2019-01-17,34.46,0.0144244921989991,0,0.0075914529261114,0.007591452926111408
2019-01-18,35.13,0.0194428322692978,0,0.0131830528536092,0.013183052853609212
2019-01-22,34.02,-0.0315969257045259,0,-0.0141572840181075,-0.014157284018107563
2019-01-23,33.65,-0.0108759553203998,0,0.0022028941471379,0.0022028941471379238
2019-01-24,35.49,0.0546805349182764,0,0.0013756774169098,0.001375677416909804
2019-01-25,36.48,0.0278951817413355,0,0.0084887201825663,0.0084887201825663
2019-01-28,36.31,-0.004660087719298,0,-0.0078468605052614,-0.0078468605052614
2019-01-29,35.97,-0.0093638116221427,0,-0.0014562096941959,-0.001456209694195909
2019-01-30,36.42,0.0125104253544621,0,0.0155492424242424,0.015549242424242493
2019-01-31,36.37,-0.0013728720483252,0,0.0085973778929895,0.008597377892989533
2019-02-01,37.04,0.0184217761891669,0,0.0008986354054953,0.000898635405495396
2019-02-04,37.37,0.0089092872570193,0,0.0067762042172079,0.006776204217207926
2019-02-05,37.66,0.0077602354830077,0,0.0047084815055395,0.004708481505539597
2019-02-06,40.41,0.0730217737652683,0,-0.0022244950140627,-0.002224495014062744
2019-02-07,39.85,-0.013857955951497,0,-0.0093571190616522,-0.009357119061652264
2019-02-08,39.55,-0.0075282308657466,0,0.0006762624489569,0.0006762624489569102
2019-02-11,40.25,0.0176991150442478,0,0.0007090417596054,0.0007090417596054
2019-02-12,41.41,0.0288198757763973,0,0.0128902502029668,0.012890250202966858
2019-02-13,41.26,-0.0036223134508572,0,0.0030239768574686,0.003023976857468691
2019-02-14,40.99,-0.0065438681531748,0,-0.0026516238471793,-0.0026516238471793185
2019-02-15,41.22,0.0056111246645522,0,0.0108787098512963,0.010878709851296353
2019-02-19,41.03,-0.004609412906356,0,0.0014987750396311,0.0014987750396311394
2019-02-20,40.73,-0.0073117231294176,0,0.0017771318387196,0.0017771318387196366
2019-02-21,40.43,-0.0073655781978884,0,-0.0035264121808452,-0.003526412180845262
2019-02-22,40.45,0.000494682166708,0,0.0064110880470507,0.006411088047050706
2019-02-25,40.8,0.0086526576019776,0,0.0012317960947767,0.0012317960947767492
2019-02-26,40.46,-0.0083333333333331,0,-0.0007903837831845,-0.0007903837831845228
2019-02-27,39.56,-0.0222441917943647,0,-0.0005440423780378,-0.0005440423780378456
2019-02-28,39.47,-0.0022750252780587,0,-0.0028255466662847,-0.0028255466662847617
2019-03-01,40.27,0.020268558398784,0,0.0068953381050032,0.0068953381050032014
2019-03-04,40.24,-0.0007449714427614,0,-0.0038806002090102,-0.0038806002090102654
2019-03-05,39.65,-0.014662027833002,0,-0.00113147689961,-0.0011314768996100177
2019-03-06,39.29,-0.0090794451450189,0,-0.0065241159285216,-0.0065241159285216455
2019-03-07,38.37,-0.0234156273861033,0,-0.0081257103682187,-0.008125710368218741
2019-03-08,38.64,0.0070367474589523,0,-0.0021317385309919,-0.0021317385309919112
2019-03-11,39.43,0.0204451345755694,0,0.0146660493534616,0.014666049353461608
2019-03-12,39.21,-0.0055795079888409,0,0.0029533287823806,0.0029533287823806376
2019-03-13,38.64,-0.0145371078806426,0,0.0069496188456468,0.006949618845646821
2019-03-14,38.16,-0.0124223602484473,0,-0.000868043202937,-0.0008680432029370966
2019-03-15,39.12,0.0251572327044025,0,0.004984902865607,0.004984902865607044
2019-03-18,38.77,-0.0089468302658485,0,0.0037059607153993,0.0037059607153993035
2019-03-19,39.12,0.0090275986587566,0,-0.0001306063665308,-0.0001306063665308388
2019-03-20,38.29,-0.0212167689161554,0,-0.0029443226469249,-0.0029443226469249018
2019-03-21,39.7,0.0368242360929746,0,0.0108525155529117,0.010852515552911779
2019-03-22,38.81,-0.0224181360201511,0,-0.0189745278260382,-0.018974527826038257
2019-03-25,38.08,-0.0188095851584644,0,-0.0008390729493592,-0.0008390729493592541
2019-03-26,38.27,0.0049894957983194,0,0.0071827784845408,0.007182778484540853
2019-03-27,36.97,-0.0339691664489156,0,-0.0046443802643997,-0.004644380264399728
2019-03-28,36.87,-0.0027048958615093,0,0.0035895443381801,0.0035895443381801506
2019-03-29,37.69,0.0222403037700027,0,0.0067342937515983,0.006734293751598397
2019-04-01,39.73,0.0541257628018041,0,0.0115685859441152,0.01156858594411525
2019-04-02,39.85,0.0030203876164109,0,1.7438676892522764e-05,1.7438676892522764e-05
2019-04-03,41.02,0.0293601003764116,0,0.0021484075277968,0.0021484075277968806
2019-04-04,41.46,0.0107264748902973,0,0.0020846384074615,0.0020846384074615365
2019-04-05,42.21,0.0180897250361795,0,0.004636398681665,0.004636398681665099
2019-04-08,42.73,0.0123193556029375,0,0.0010474498226595,0.0010474498226595852
2019-04-09,42.2,-0.0124034636087057,0,-0.006067470828139,-0.0060674708281390766
2019-04-10,42.82,0.0146919431279619,0,0.0034778681120144,0.0034778681120144483
2019-04-11,42.69,-0.0030359645025689,0,3.808587325715429e-05,3.808587325715429e-05
