Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
ESS,2020-05-08,-0.0218795023869384,-0.0203722263340282,-0.0233319253013762,-0.2294858500267388,-0.2080415709679609,-0.1510986750727683
ESS,2020-08-04,0.0304144762648232,0.0069924309319123,0.0376368828097117,-0.1860160947108912,-0.1992832064297369,0.0145080842045177
ESS,2020-10-29,0.1140899415098271,0.1786594884185069,0.1659946962830923,-0.1436231436753445,-0.2080015089947864,0.0142023530551463
ESS,2021-02-05,0.0353246297427304,0.0379587725490287,0.0939950966080699,-0.2231464516454768,-0.2120521511639129,-0.0982431181205388
ESS,2021-04-28,-0.0079521606065831,-0.00685492894085,0.0260639207279353,-0.0358299149668208,0.0925239506376563,0.0823211554591443
ESS,2021-07-30,-0.0188180721567524,-0.0634425670041905,-0.0719436162962441,-0.0681864006550073,0.1292443228929586,0.1482923238067514
ESS,2021-10-27,-0.0292517401376884,-0.0204714794705478,-0.0273191944914052,0.0031121807671605,0.2040498208063011,0.2741893696083203
ESS,2022-02-03,-0.0530933238260296,-0.0334696181344194,0.0201999676129921,-0.0934771102053841,0.3584512698206102,0.1139222107815458
ESS,2022-04-27,-0.0644266163905805,-0.127399155941932,-0.2201712232800643,0.1970566923618026,0.2745338151718919,0.1942806334895157
ESS,2022-07-27,-0.0029709294695878,0.028331865426805,0.0226418233772385,-0.0161866826084108,0.2610232275148544,0.1257834046913563
ESS,2022-10-27,-0.0061365051282011,-0.0277465691828871,-0.0179934727509969,-0.0124725274692907,0.0337192326574152,0.1240308358496896
ESS,2023-02-08,0.0043174190268271,0.0256128543870451,-0.0902388421717016,-0.0581070831134009,0.0840148799924659,0.0394296753522122
ESS,2023-04-28,0.0068543104574926,0.0004646675327191,0.0497401648306514,0.008897062675457,0.130045332559266,0.1955690777521216
ESS,2023-07-28,0.0479954248443132,0.0646550110151737,-0.0313738332316534,0.1296865998420157,0.0976708783360291,0.107186216762033
ESS,2023-10-27,-0.0189219654438305,-0.042671446441942,-0.0134182594561306,0.0817585351219924,0.3964031365859726,0.0834663863860651
ESS,2024-02-07,0.0028393925088056,-0.0116804079720791,0.0226340399934099,-0.2021181745663192,0.1638896648162368,0.1478895122278074
ESS,2024-05-01,0.0118022158319322,0.0390417807284963,0.051233581592737,0.125415853171742,0.4927734790608012,0.2300238852465427
ESS,2024-07-31,0.0260126319110972,0.0322157385852213,0.0828584134553984,0.3165059358654972,0.3684315759472161,0.2503772632396486
ESS,2024-10-30,-0.0401872273006363,0.0061691347752807,-0.057620421314304,0.2039080117931966,0.3600513101069291,0.2401635201287943
