Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
EBAY,2020-04-29,0.0407971425539057,0.0929608525482055,0.2204222927211627,0.3000012164517918,0.5084861822056566,0.3590438030969453,0.5084861822056566
EBAY,2020-07-28,-0.0366804252253152,-0.0845216601486772,-0.1604337809343047,0.586348222162245,0.2804596692759192,0.4848164902691915,0.28045966927591925
EBAY,2020-10-29,-0.0265178838996943,-0.1221431941513358,-0.1488025790738175,0.3943371283074762,0.393049103067664,0.3802043336194305,0.39304910306766405
EBAY,2021-02-03,0.0825390813297708,0.0717723248432812,0.0298124928795942,0.5317783329733573,0.5495033858544103,0.4749542597967286,0.5495033858544103
EBAY,2021-04-28,-0.0654483255152782,-0.0374029578553575,0.0664983043434475,0.4578151914164742,0.5420929489226833,0.5309326109294827,0.5420929489226833
EBAY,2021-08-11,0.0906595172327223,0.0636411813326956,0.0453093448006461,0.617184051757945,0.3634188373516451,0.4503651768633452,0.3634188373516451
EBAY,2021-10-27,-0.0316720209926638,-0.0855651177642434,-0.1955107880759824,0.5005255395568147,0.4508578381949175,0.3323850827562707,0.4508578381949175
EBAY,2022-02-23,-0.0239131103496164,-0.02690314530257,-0.0239185655764705,0.3871129937291563,0.3197784257274396,0.4407566680839643,0.3197784257274396
EBAY,2022-05-04,-0.0317903902236656,-0.0943895279604814,-0.0838952750864649,0.3718961722085482,0.2762500966903026,0.4164677052702651,0.27625009669030265
EBAY,2022-08-03,-0.0499284785512335,-0.0568615540400796,-0.0593931366103285,0.5604152635378015,0.2710478585874808,0.3700580281658494,0.2710478585874808
EBAY,2022-11-02,0.0528086643604534,0.1317412942095341,0.1098144540949251,0.4647756120752392,0.5009655661811262,0.4182448351043564,0.5009655661811262
EBAY,2023-02-22,-0.0403408850781402,-0.0797079937098168,-0.1201266679011522,0.4719159883729354,0.4325599812519425,0.3910846050071562,0.43255998125194256
EBAY,2023-04-26,0.0183338558296089,0.0292439824286152,-0.0186929609145682,0.5211925958289934,0.4565426444900887,0.5687636569779426,0.45654264449008874
EBAY,2023-07-26,-0.0911897666461881,-0.0757627478197114,-0.074472868478708,0.4855332060345466,0.362622303820781,0.6172016227351075,0.362622303820781
EBAY,2023-11-07,-0.032171808043298,-0.0486685472383919,-0.0140275324338242,0.4353845364382488,0.1858336226678038,0.3929668457379301,0.18583362266780382
EBAY,2024-02-27,0.0733843523862383,0.1390601800923916,0.2028532616972388,0.5537200919325589,0.3879321892316951,0.456258064516129,0.38793218923169515
EBAY,2024-05-01,-0.0655356043409114,-0.03054977682208,-0.0251134507369571,0.6015814751605639,0.4733497308518521,0.5339123533644744,0.47334973085185217
EBAY,2024-07-31,0.0149393632898854,-0.000379039399139,0.0959197438145582,0.6478038753619039,0.630599239117959,0.5848334197368725,0.630599239117959
EBAY,2024-10-30,-0.0313117899408352,-0.0405914861305586,-0.0444227099015926,0.5521322445161523,0.6075760287269583,0.5144255444907055,0.6075760287269583
