Stock_Name,Earnings_Call_Date,Earnings_Surprise,Firm_Size,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
VRT,2020-05-06,0.0,3497584658,0.0581527774317215,0.0869977290000427,0.2386837783427213,-0.1199408021439044,-0.0018211711073015,0.0307043622148781
VRT,2020-11-04,0.2307692307692307,5731316899,-0.0691482126339397,-0.032305370925271,-0.0888185805135892,0.2381513956505815,0.4484841065497425,0.242924707201624
VRT,2021-02-24,0.0,7271756980,0.0244165144111689,-0.0171618087622408,-0.0322777795527005,0.2941318210071593,0.440039283297744,0.1586961505902271
VRT,2021-04-28,0.75,8097059240,-0.0112918353258381,-0.0425612468982243,0.0874657523682922,0.3718415876086348,0.2683427748052852,0.1783541088139391
VRT,2021-07-28,0.2916666666666667,9732052869,0.0027693839550833,-0.0455882386089196,-0.1580136043323485,0.1373561974553741,0.3715258596667835,0.2514953314414829
VRT,2021-10-27,0.0526315789473684,9079188740,0.0391180099293304,0.0524371186016883,0.0099348182080262,0.1715902073962087,0.3065537739580996,0.1911992197721163
VRT,2022-02-23,-0.8571428571428571,4654536999,0.0152435199542693,-0.1090340224526,0.1130915995996216,0.2136575422592277,0.0914300402359355,-0.0607919848751365
VRT,2022-04-27,-0.5,4846773274,0.0048537902839804,-0.0646183313606216,0.0308066041531441,0.2565552918914027,0.385719521520139,0.2978206615064471
VRT,2022-08-03,0.0,4520433602,0.0988752882766328,0.0709434580053448,0.3037047730802572,0.3380112593835899,0.5065892181137776,0.3066510840229834
VRT,2022-10-26,0.0952380952380953,5508874657,-0.0470699697562302,0.0215005199896139,-0.1541444341622301,0.3692935571083156,0.3792991222720661,0.270166754859912
VRT,2023-02-22,-0.0666666666666665,5868574278,0.009105067361984,-0.0259631520146607,-0.3469600267070661,0.4659475279921282,0.5694178290710858,0.190501684280341
VRT,2023-04-26,0.4117647058823528,5163362380,0.0314960406153849,0.0667457396609477,0.2759529350370743,0.6177666421806411,0.4228342571482958,0.2677868021134939
VRT,2023-08-02,0.5862068965517243,13061041077,0.030939414806129,0.0116232234480155,0.0454944183114937,0.4889347282661377,0.4980973231955922,0.239650782429337
VRT,2023-10-25,0.1818181818181818,14266627184,0.0099694721344049,-0.0612092528009193,-0.1519877411430916,0.5145432034320561,0.408021451589781,0.255348774333093
VRT,2024-02-21,0.0566037735849057,22198365023,0.0872884348403751,0.1269705173069555,0.1422144470072627,0.565576376988713,0.6724447663586576,0.2309242712642955
VRT,2024-04-24,0.1987733482018399,31691262245,0.0893326151036811,0.0733370896866227,-0.1377775983421,0.5458724983779962,0.4902267635816417,0.3023003394675719
VRT,2024-07-24,0.1713286713286715,29487232376,-0.0327961261247275,-0.0761385682587572,-0.1542106676934381,0.6779793998327601,0.5150744114689625,0.3115630704105014
VRT,2024-10-23,0.1030478955007258,40657036523,0.0380707961051307,0.0567112337067846,0.1334390841588414,0.6056471847169534,0.3977455716644985,0.4382003696288311
