Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
F,2020-04-28,-0.0683402343243861,-0.0448694237570686,0.2480094799425512,-0.0069048043996868,-0.0701732575000259,0.2938536775562171
F,2020-07-31,0.0386507063699638,0.0529564998934302,0.1076080960254802,0.3233970289445371,0.3581900220355165,0.2733441518039672
F,2020-10-29,-0.0252423632734225,-0.0422110578059029,0.0092418290551443,0.3542000578524418,0.4341364458755211,0.1809957792550385
F,2021-02-04,0.0331446936516195,-0.010035259132742,0.0550031593048327,0.4914094152685804,0.3329217886393852,0.4141697020978954
F,2021-04-28,-0.075658416013964,-0.094615414674548,0.0803338501841091,0.3622972789729247,0.3038765799683849,0.2527281299494047
F,2021-07-28,-0.002593998016153,-0.036689556445987,-0.2018506623584243,0.4212923636094012,0.510688000377348,0.2272163492296008
F,2021-10-27,0.1376952990645121,0.211854525916458,0.2350845958907696,0.5194423100814026,0.4807678953193859,0.2451606750255617
F,2022-02-03,-0.1307326330546374,-0.1049873607659707,-0.2007577607468408,0.5386133629670611,0.6203774967100724,0.3554964594088785
F,2022-04-27,-0.0387779006250414,-0.0836835777181945,-0.1277668458258121,0.3554678277973856,0.3728333029848777,0.1354143073657036
F,2022-07-27,0.1253228976848683,0.1250936552881468,0.2196148439943335,0.3584790373750485,0.2404316040696422,0.0907792416325454
F,2022-10-26,0.0237548343026294,0.0607100928566696,-0.039611408259159,0.4047275581607151,0.4272331523299399,0.1915450646579875
F,2023-02-02,-0.0554623633274885,-0.0145793783470986,-0.0949532490237315,0.4853275724830026,0.2363656563521394,0.312957429515303
F,2023-05-02,0.012431578518293,-0.0372963546029725,0.1285009890088231,0.5641514409561501,0.2488011130982649,0.2324682752457551
F,2023-07-27,-0.0370249441304372,-0.0957344665269095,-0.084181877757716,0.5149175059565595,0.5223288639461341,0.1684827340182648
F,2023-10-27,-0.0251423504778152,-0.0771200585880409,-0.0109292701135306,0.4973931749853223,0.2578806373476583,0.3052697687405223
F,2024-02-06,0.0423018711866515,0.0503386094638002,0.1062134114094937,0.4152491455944025,0.3429055387552197,0.2280027457227597
F,2024-04-24,-0.0232443136988773,-0.0689027354712977,-0.0916450603994372,0.4180058875366585,0.1749678478644998,0.3159506862819646
F,2024-07-24,-0.2029926388728117,-0.2347125001985401,-0.1931957624003853,0.4058943477490421,0.2785042145513615,0.2075610103718083
F,2024-10-28,-0.0651055352350659,-0.0138726964633332,-0.0440897181093498,0.4732065547649257,0.3762226019360765,0.1984235602664515
