Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
ERIE,2020-05-08,-0.0274703650819404,0.0224909379632305,0.0656937881615757,0.1024275680884843,0.3545231984439144,0.39897366382649113
ERIE,2020-10-30,-0.0117723750258485,-0.0543599691505021,-0.0975390109789118,0.5950810997887217,0.5400869769040254,0.4535283145039243
ERIE,2021-02-26,-0.0034345246042591,-0.0780978276177298,-0.1550807953579037,0.2091102465632565,0.7331060386339566,0.45455720370098407
ERIE,2021-04-30,-0.0125292557350286,-0.0538040973000142,-0.1371301895282423,0.6939326326954681,0.7758844636211341,0.3873893152302244
ERIE,2021-10-29,0.0345716422783385,0.1244521368948988,0.0177303713307229,0.2740555401552768,0.3621619197857321,0.4821412705464238
ERIE,2022-02-25,-0.0229326362759321,-0.0075585228921458,0.0317655061521402,0.4067039899201443,0.5501207365049093,0.551997885246814
ERIE,2022-04-29,0.0510973618908848,0.051931118799734,0.1501552361014464,0.3071053136415343,0.432918188584864,0.43686063032808065
ERIE,2022-07-29,0.0390371474843204,0.0399748124241548,0.0723663520319134,0.1119168446271,0.0202695069549319,0.26409346846846843
ERIE,2022-10-28,0.0514538934240561,-0.0267942709536636,-0.0184386124123373,0.1167785907976313,0.3859502521535431,0.41876600698486616
ERIE,2023-03-02,0.0159383402054956,-0.0183948462703105,-0.0858852182359878,0.2312480457228077,0.4351629748940467,0.3862150205761317
ERIE,2023-04-28,0.0579788119751965,0.0727460727099874,-0.0275070411530828,-0.0335906448131967,0.1856091539880747,0.3196690406367826
ERIE,2023-07-28,0.197939488455459,0.3492226221627351,0.3712714999928619,-0.0008043535152825,0.6732805891201331,0.3861359117314515
ERIE,2023-10-27,0.0001694813395721,-0.0105624862185422,0.0785918509181526,0.3090774214301753,0.5650352126017313,0.347336971676692
ERIE,2024-02-27,0.0253701844331595,0.0065552088543603,-0.1086149556408808,0.1635840996574403,0.9898303158512056,0.4756793945648434
ERIE,2024-04-25,0.000399848504466,0.0385222952606381,-0.1566023798421933,0.3572866065294459,0.6932293323284768,0.4087639311043567
ERIE,2024-07-26,0.0423774868994967,0.0661087481982767,0.1642730354153805,0.3694950039792359,0.7947249901710325,0.5458951719743088
ERIE,2024-11-01,0.0133741659612619,-0.0532008628460428,-0.0660380898196426,0.3826262504885777,0.8860750570170669,0.45943143975303247
