Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
LYB,2020-05-01,-0.0560640177231377,-0.0131647271549392,0.2078505458759946,-0.0246780592881046,0.2293260460349749,0.2373497741163965,0.22932604603497492
LYB,2020-07-31,0.0302386845676928,0.0670128435009589,0.2105889708929941,0.2104910031110825,0.0037888936426755,0.2031175475134473,0.003788893642675534
LYB,2020-10-30,-0.0693945014466221,-0.0366020120144458,0.0598839419231426,0.0617159156120471,0.0306217217704524,0.3191469243156199,0.030621721770452418
LYB,2021-01-29,-0.0022492715161178,0.0284161263992492,0.1080879832167001,0.1892124310970556,0.5044466076466377,0.2690999604531602,0.5044466076466377
LYB,2021-04-30,0.07529809109025,0.0765826235884993,-0.0266155940355445,0.2181480454490045,0.1250456577021797,0.2318253686446071,0.12504565770217974
LYB,2021-07-30,-0.0266781778955233,0.0352068245590599,-0.0701729294225998,0.194832947015626,0.7582047085320822,0.3508413828164718,0.7582047085320822
LYB,2021-10-29,-0.0030505720442818,0.0246217394395155,0.0007564782084502,0.2329476782268608,0.3648815519335202,0.2613436159832964,0.36488155193352023
LYB,2022-01-28,0.0084028100394478,0.0767662747494236,0.2099069901874867,0.2339887061673478,0.4037741835493245,0.3064833346108098,0.40377418354932454
LYB,2022-04-29,0.0661078762314767,0.0124100380059121,0.0017716103111747,0.3274540492387809,0.65810337152703,0.3162019370529739,0.65810337152703
LYB,2022-07-29,-0.0523931195613062,-0.0188028166106812,-0.1101193239400681,0.3449497367228339,0.4407313014323872,0.2869751423292543,0.4407313014323872
LYB,2022-10-28,0.0368556264639824,0.1270591432125182,0.0893665667728911,0.2342929782379783,-0.0094421852076757,0.1966931905966732,-0.009442185207675799
LYB,2023-02-03,0.0130781676382572,0.0084922087794792,-0.0507265208196444,0.3371070276356014,0.5256612823087655,0.3105309952951322,0.5256612823087655
LYB,2023-04-28,-0.0407272153788502,-0.057393539826616,-0.1107814445176832,0.5261775500207966,0.5296569789666846,0.2425383425971038,0.5296569789666846
LYB,2023-08-04,0.0404450146733601,0.0437725121286951,0.0748369990297188,0.3500277903609644,0.3041487013127474,0.1893829108597771,0.30414870131274746
LYB,2023-10-27,-0.0335884147559843,-0.0312991771753278,-0.0832468628145761,0.2327267322317146,0.5018476580392981,0.2483249827835186,0.5018476580392981
LYB,2024-02-02,0.0109508417060245,0.0422499142390775,0.0516224542464806,0.3035795409489874,0.5592628088674207,0.35394723614406,0.5592628088674207
LYB,2024-04-26,-0.0149074974257562,-0.0205286451200677,-0.0775282893877558,0.4760702988934517,0.713556881708739,0.385647693147693,0.713556881708739
LYB,2024-08-02,0.019986353599628,0.0140527184211445,-0.0014487001058953,0.3866232853661091,0.639240323779908,0.2967343708213381,0.639240323779908
LYB,2024-11-01,-0.0214405250807356,-0.0544101845076173,-0.1461379913511634,0.2121135227955514,0.3314198467291116,0.2521858145699119,0.3314198467291116
