Stock_Name,Earnings_Call_Date,Earnings_Surprise,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
URI,2020-04-30,0,-0.0951038054995462,-0.0523428779683929,0.1268654585958336,-0.1191236044035033,-0.1518967146502843,0.0793586824671083
URI,2020-07-30,0,-0.0040674387030208,0.0682311545825728,0.0488246526475383,0.0573216039624249,-0.0106651216927715,0.0929176194301959
URI,2020-10-29,0,0.1190726484161471,0.0354398662562975,0.118205846607358,0.3312291804208133,-0.0887647605108146,0.0931020092735703
URI,2021-01-28,0,-0.0310903318926844,0.0322561801572516,0.1111575829233045,0.2381568730093261,-0.0201698701843442,0.1306511595645759
URI,2021-04-29,0,0.0120649398698266,0.0129808076312295,-0.1856801723173386,0.3923303470090477,0.1556349076322061,0.1318654305379969
URI,2021-07-29,0,0.0441532330610121,0.0931296326879884,0.017792654800352,0.392062174562338,0.2687660586565333,0.2464713763702801
URI,2021-10-28,0,0.0414467420310366,0.0331802429697432,-0.0606221450275892,0.5895124608242928,0.4650907909640123,0.395553090652415
URI,2022-01-27,0,-0.0559814099726432,-0.0482382343018649,0.0795624516053131,0.5441363824049621,0.5888984013968779,0.3167368333787793
URI,2022-04-28,0,0.01375066281828,-0.0076121518916823,-0.0057238907933199,0.47721453168107,0.5234230879693036,0.3846995971831802
URI,2022-07-28,0,0.024119175712376,0.0414765645401317,0.0074759534208054,0.4421211754706342,0.5979054097859364,0.4839004932721094
URI,2022-10-27,0,0.0571514211324915,0.0975916285216325,0.131583554255471,0.3802602429759267,0.5033763290635361,0.3763471982033444
URI,2023-01-26,0,0.0081928561654095,0.0107498220734163,-0.0148406724565947,0.4862101601872144,0.4257796318525533,0.2493561915284847
URI,2023-04-27,0,-0.0100708860110212,-0.0897191957880494,-0.0461096062860369,0.5723787043854555,0.3906421091204411,0.2243130083257134
URI,2023-07-27,0,0.0603512016353145,0.1229442516341418,0.0997276503384745,0.4396160517617841,0.4340352777268289,0.1155255544257214
URI,2023-10-26,0,-0.0134667145014312,0.0132082286805481,0.0581318637341621,0.253204330610895,0.3170755567164683,0.1016511867905056
URI,2024-01-25,0,-0.0266716617906566,-0.0529164360230858,-0.0697123408281742,0.3850130780679494,0.1997314058982045,0.2266219238587303
URI,2024-04-25,0,-0.0302436175300003,-0.0718585380074057,-0.2090276293277542,0.7087831426740994,0.711207585397318,0.4474211769918039
URI,2024-07-25,0,-0.0338328396565291,-0.0509751603906835,-0.0748742736638548,0.4867289229163505,0.3376049552254003,0.3862198716567929
URI,2024-10-24,0,-0.0195042427810684,0.0113454401493512,-0.0086403358360803,0.5450842010238651,0.3155515769681648,0.1190581317272672
