Date,Closing_Price,Stock_Return,Earnings_Call,Market_Return
2019-04-10,119.56,0.0014239048496524,0,0.0034778681120144483
2019-04-11,119.28,-0.0023419203747072,0,3.808587325715429e-05
2019-04-12,118.7,-0.0048625083836351,0,0.006609378462220095
2019-04-15,118.68,-0.0001684919966301,0,-0.0006294261903205811
2019-04-16,116.48,-0.0185372430064038,0,0.000509364739569973
2019-04-17,111.07,-0.0464457417582419,0,-0.002273774879087531
2019-04-18,111.35,0.0025209327451156,0,0.0015790653174507785
2019-04-22,112.47,0.0100583744948361,0,0.001012037741434657
2019-04-23,113.91,0.0128034142437982,0,0.008841219132246891
2019-04-24,115.48,0.0137828109911333,0,-0.0021917864252406494
2019-04-25,115.73,0.0021648770349844,0,-0.00036894696387390624
2019-04-26,114.94,-0.0068262334744665,0,0.004685305365033532
2019-04-29,112.12,-0.0245345397598746,0,0.0010714723049920494
2019-04-30,114.29,0.0193542632893328,0,0.0009514004274504551
2019-05-01,112.49,-0.0157494093971477,0,-0.007502130129708795
2019-05-02,114.33,0.0163570095119567,0,-0.0021239991380873624
2019-05-03,115.35,0.0089215429021254,0,0.00963832295922562
2019-05-06,116.5,0.0099696575639358,0,-0.004471014787957861
2019-05-07,114.5,-0.0171673819742489,0,-0.016511677868827124
2019-05-08,113.73,-0.0067248908296942,0,-0.0016053813214057522
2019-05-09,113.13,-0.0052756528620417,0,-0.0030214418181440106
2019-05-10,113.18,0.0004419694157165,0,0.0037203210344445292
2019-05-13,110.11,-0.0271249337338752,0,-0.024130630943291487
2019-05-14,110.19,0.0007265461810916,0,0.008016017810211773
2019-05-15,110.01,-0.001633542063708,0,0.00583895766667486
2019-05-16,109.57,-0.0039996363966913,0,0.008895249319527565
2019-05-17,108.03,-0.0140549420461804,0,-0.005837319908772343
2019-05-20,107.57,-0.0042580764602425,0,-0.006749360908960611
2019-05-21,107.74,0.0015803662731244,0,0.008495790833841
2019-05-22,106.85,-0.0082606274364209,0,-0.002824365652362215
2019-05-23,105.75,-0.0102948058025268,0,-0.011914139769699683
2019-05-24,106.27,0.004917257683215,0,0.001353534780883292
2019-05-28,104.06,-0.0207960854427401,0,-0.008375618352052028
2019-05-29,104.13,0.0006726888333652,0,-0.0069119572935958384
2019-05-30,104.76,0.0060501296456354,0,0.0020984398243635294
2019-05-31,105.72,0.0091638029782359,0,-0.013195355808466647
2019-06-03,106.06,0.0032160423760878,0,-0.0027652013400870645
2019-06-04,108.95,0.0272487271355836,0,0.021432345278653342
2019-06-05,110.0,0.0096374483708123,0,0.008161896642135735
2019-06-06,111.64,0.0149090909090909,0,0.006135555437609463
2019-06-07,112.03,0.0034933715514151,0,0.010497663083042452
2019-06-10,112.94,0.008122824243506,0,0.0046600819951694294
2019-06-11,111.8,-0.0100938551443243,0,-0.00034987685027698667
2019-06-12,111.99,0.0016994633273703,0,-0.002037619727485618
2019-06-13,111.16,-0.0074113760157156,0,0.004097449858325275
2019-06-14,108.99,-0.019521410579345,0,-0.0016115422390061696
2019-06-17,109.25,0.0023855399577943,0,0.0009317695307899942
2019-06-18,109.61,0.003295194508009,0,0.009717372571954597
2019-06-19,110.77,0.0105829760058389,0,0.002985176934281464
2019-06-20,111.08,0.0027985916764468,0,0.009472195075278522
2019-06-21,109.77,-0.0117933021245949,0,-0.0012592326804730103
2019-06-24,108.96,-0.007379065318393,0,-0.001731933325650914
2019-06-25,108.29,-0.0061490455212921,0,-0.009496324715228988
2019-06-26,106.31,-0.0182842367716317,0,-0.0012339839170762978
2019-06-27,107.29,0.0092183237701062,0,0.003823212459416858
