Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3
GD,2020-04-29,-0.0564267173821776,0.0166928461238642,0.1208163477317604,-0.1752761268980603,-0.4201601914863522,0.1584529866214434
GD,2020-07-29,-0.0200846857105084,0.0179062165591503,-0.0495892382014067,-0.0824459792513906,-0.1132928702484135,-0.0759226150956997
GD,2020-10-28,0.0185890138286693,0.0492856705627415,0.04390998836438,0.5948431448180043,-0.0143621360468534,0.2624016274814997
GD,2021-01-27,-0.0351014172696638,0.0459976947394914,0.1175777992411464,0.5920494704517136,0.0983908052711993,0.2034788722491739
GD,2021-04-28,0.0293795303967886,0.0159666424750259,-0.0109870115919401,0.3460475789342719,0.1357118420716465,0.2648557506258835
GD,2021-07-28,-0.0006485897452635,0.0073727329169559,-0.0109093691443064,0.3093138477777041,0.5274106594341904,0.3717766008666345
GD,2021-10-27,-0.0322250927739935,-0.0414958371301786,-0.0411757594653026,0.4325882185139845,0.2489285458942611,0.228141535111595
GD,2022-01-26,0.0068429669453377,0.0097321531486563,0.1513786749028739,0.2637608858713016,0.5200225006668395,0.2970903907429146
GD,2022-04-27,-0.0312903474988752,-0.0454879217554405,-0.0939333022052815,0.3445802569156047,0.2794796798511761,0.2922231171777857
GD,2022-07-27,0.0121074305675903,0.0084212301026869,-0.0127743765615047,0.1454652761017612,0.165177449452034,0.1794348128188181
GD,2022-10-26,0.007403202612964,0.0243665220926253,-0.0323030071356828,0.2356223462920356,0.1075019985045404,0.1220945187570149
GD,2023-01-25,0.0016147722932092,-0.0181598595699398,-0.0331340051232507,0.4242299340831388,0.5070872254711423,0.3270967964848068
GD,2023-04-26,0.0006059506731697,-0.0243004845933772,-0.0307107796890716,0.3920799623377204,0.5211978260571152,0.2772296086751532
GD,2023-07-26,0.0055327883389107,0.0438092588949173,0.0439758102269056,0.5257912953640588,0.3517235469490711,0.3939787325009707
GD,2023-10-25,-0.0094405510073976,-0.0235741152258538,-0.0004463990991279,0.6135469230861152,0.2702973043772422,0.2270363820331374
GD,2024-01-24,0.0056991157582492,0.0083857087114572,-0.0136867726078789,0.347697608794193,0.3113744347467913,0.287930787030374
GD,2024-04-24,0.0161272441770949,0.0182755747671617,-0.0017799395410607,0.2669516503160151,0.5672027062528149,0.2961893059279118
GD,2024-07-24,0.0110060138866518,0.01264805793322,0.0030704938600776,0.4317058077687477,0.6537741872871273,0.4198019231876547
GD,2024-10-23,-0.0052139920337041,-0.0013728816210287,-0.134403276920843,0.4140001366566421,0.5980374096420363,0.2681467493654303
