Stock_Name,Earnings_Call_Date,CAR_3_Days,CAR_10_Days,CAR_30_Days,method_1,method_2,method_3,method_2
LNG,2020-04-30,-0.0782940666669512,-0.0495371987749313,0.1072479552436677,-0.0688084549913749,-0.0319731410373172,0.1466907211201174,-0.031973141037317215
LNG,2020-08-06,0.0174298253334218,-0.0344462108037858,-0.0009675162453725,0.0408423874817798,0.0201888156659675,0.2142284354876266,0.02018881566596755
LNG,2020-11-06,0.0530205860810421,0.0615094058497656,0.05711100711383,0.2236351550493761,0.5598257722522534,0.3343891100644212,0.5598257722522534
LNG,2021-02-24,-0.0247804092240433,0.0490255590825474,-0.0338878363115737,0.2572787936176351,0.3660888889608121,0.3368883199013139,0.3660888889608121
LNG,2021-05-04,0.0210483337853874,0.0348456888581587,0.0319173279234392,0.3851214861740707,0.5810693019831722,0.3769881455561715,0.5810693019831722
LNG,2021-08-05,0.0125017395869087,-0.0549887848060693,-0.0612599295673577,0.4517260796184661,0.4399662507356627,0.2872192613509555,0.43996625073566276
LNG,2021-11-04,0.0082451334668667,-0.0008468872366128,-0.0683092192448619,0.2670491704223722,0.4757941740621462,0.3287420867744934,0.47579417406214625
LNG,2022-02-24,0.001479039829533,0.0246092496401583,0.0307080973057261,0.4356386153383905,0.6526703936363588,0.3554737473347548,0.6526703936363588
LNG,2022-05-04,-0.0556634079695104,-0.0787150128766672,-0.1715650387157321,0.2968022740503424,0.714609835352798,0.3843928243280614,0.714609835352798
LNG,2022-08-04,0.0291930996156882,0.0969370430927619,0.0921378387881285,0.1495242685679401,0.3785400680842005,0.3643965318161778,0.3785400680842005
LNG,2022-11-03,-0.0456550540936975,-0.1297844357537121,-0.2116710883368561,0.1751316064702738,0.3948453605005992,0.2914188626233415,0.39484536050059926
LNG,2023-02-23,-0.0251834346253349,-0.0508910554988634,-0.0927151353686289,0.2118380514886877,0.500709702408165,0.3483256290941352,0.500709702408165
LNG,2023-05-02,-0.0070943822937554,-0.0309877014624903,-0.0271044274611583,0.4259536410271969,0.5061783020962539,0.2536912133274362,0.5061783020962539
LNG,2023-08-03,-0.004637279828977,0.0214701777252888,0.0294397034092207,0.3427503015484543,0.4577510129397801,0.3144698152595882,0.4577510129397801
LNG,2023-11-02,-0.0538437831368802,-0.039559915224552,-0.0851205835639422,0.2513993299831918,0.37725945784767,0.3386752137961267,0.37725945784767
LNG,2024-02-22,-0.0290123925346757,-0.0324423267812767,-0.0273091347942466,0.4158262620230653,0.3973380168104291,0.2633798801700812,0.39733801681042913
LNG,2024-05-03,-0.00359915339269,0.0172333464177318,-0.013554871875192,0.3463085014546263,0.2312644484721017,0.2514772727272727,0.23126444847210179
LNG,2024-08-08,0.0103944129676056,0.0090628893704113,0.0002741707841925,0.4396297291877588,0.6720582423263886,0.317282401654328,0.6720582423263886
LNG,2024-10-31,-0.0007566487032856,0.0778065817511757,0.0679173438284656,0.4277780038133966,0.4616297628682888,0.2028465424040992,0.4616297628682888
