Date,Market_Closing_Price,Market_Return
2019-01-02,2510.03,
2019-01-03,2447.89,-0.02475667621502542
2019-01-04,2531.94,0.0343356931888279
2019-01-07,2549.69,0.00701043468644591
2019-01-08,2574.41,0.009695296290921585
2019-01-09,2584.96,0.0040980263439003295
2019-01-10,2596.64,0.004518445159692908
2019-01-11,2596.26,-0.00014634296629478794
2019-01-14,2582.61,-0.005257562801876614
2019-01-15,2610.3,0.010721711756711327
2019-01-16,2616.1,0.002221966823736654
2019-01-17,2635.96,0.007591452926111408
2019-01-18,2670.71,0.013183052853609212
2019-01-22,2632.9,-0.014157284018107563
2019-01-23,2638.7,0.0022028941471379238
2019-01-24,2642.33,0.001375677416909804
2019-01-25,2664.76,0.0084887201825663
2019-01-28,2643.85,-0.0078468605052614
2019-01-29,2640.0,-0.001456209694195909
2019-01-30,2681.05,0.015549242424242493
2019-01-31,2704.1,0.008597377892989533
2019-02-01,2706.53,0.000898635405495396
2019-02-04,2724.87,0.006776204217207926
2019-02-05,2737.7,0.004708481505539597
2019-02-06,2731.61,-0.002224495014062744
2019-02-07,2706.05,-0.009357119061652264
2019-02-08,2707.88,0.0006762624489569102
2019-02-11,2709.8,0.0007090417596054
2019-02-12,2744.73,0.012890250202966858
2019-02-13,2753.03,0.003023976857468691
2019-02-14,2745.73,-0.0026516238471793185
2019-02-15,2775.6,0.010878709851296353
2019-02-19,2779.76,0.0014987750396311394
2019-02-20,2784.7,0.0017771318387196366
2019-02-21,2774.88,-0.003526412180845262
2019-02-22,2792.67,0.006411088047050706
2019-02-25,2796.11,0.0012317960947767492
2019-02-26,2793.9,-0.0007903837831845228
2019-02-27,2792.38,-0.0005440423780378456
2019-02-28,2784.49,-0.0028255466662847617
2019-03-01,2803.69,0.0068953381050032014
2019-03-04,2792.81,-0.0038806002090102654
2019-03-05,2789.65,-0.0011314768996100177
2019-03-06,2771.45,-0.0065241159285216455
2019-03-07,2748.93,-0.008125710368218741
2019-03-08,2743.07,-0.0021317385309919112
2019-03-11,2783.3,0.014666049353461608
2019-03-12,2791.52,0.0029533287823806376
2019-03-13,2810.92,0.006949618845646821
2019-03-14,2808.48,-0.0008680432029370966
2019-03-15,2822.48,0.004984902865607044
2019-03-18,2832.94,0.0037059607153993035
2019-03-19,2832.57,-0.0001306063665308388
2019-03-20,2824.23,-0.0029443226469249018
2019-03-21,2854.88,0.010852515552911779
2019-03-22,2800.71,-0.018974527826038257
2019-03-25,2798.36,-0.0008390729493592541
2019-03-26,2818.46,0.007182778484540853
2019-03-27,2805.37,-0.004644380264399728
2019-03-28,2815.44,0.0035895443381801506
2019-03-29,2834.4,0.006734293751598397
2019-04-01,2867.19,0.01156858594411525
2019-04-02,2867.24,1.7438676892522764e-05
2019-04-03,2873.4,0.0021484075277968806
2019-04-04,2879.39,0.0020846384074615365
2019-04-05,2892.74,0.004636398681665099
2019-04-08,2895.77,0.0010474498226595852
2019-04-09,2878.2,-0.0060674708281390766
2019-04-10,2888.21,0.0034778681120144483
2019-04-11,2888.32,3.808587325715429e-05
2019-04-12,2907.41,0.006609378462220095
2019-04-15,2905.58,-0.0006294261903205811
2019-04-16,2907.06,0.000509364739569973
2019-04-17,2900.45,-0.002273774879087531
2019-04-18,2905.03,0.0015790653174507785
2019-04-22,2907.97,0.001012037741434657
2019-04-23,2933.68,0.008841219132246891
2019-04-24,2927.25,-0.0021917864252406494
2019-04-25,2926.17,-0.00036894696387390624
2019-04-26,2939.88,0.004685305365033532
2019-04-29,2943.03,0.0010714723049920494
2019-04-30,2945.83,0.0009514004274504551
2019-05-01,2923.73,-0.007502130129708795
2019-05-02,2917.52,-0.0021239991380873624
2019-05-03,2945.64,0.00963832295922562
2019-05-06,2932.47,-0.004471014787957861
2019-05-07,2884.05,-0.016511677868827124
2019-05-08,2879.42,-0.0016053813214057522
2019-05-09,2870.72,-0.0030214418181440106
2019-05-10,2881.4,0.0037203210344445292
2019-05-13,2811.87,-0.024130630943291487
2019-05-14,2834.41,0.008016017810211773
2019-05-15,2850.96,0.00583895766667486
2019-05-16,2876.32,0.008895249319527565
2019-05-17,2859.53,-0.005837319908772343
2019-05-20,2840.23,-0.006749360908960611
2019-05-21,2864.36,0.008495790833841
2019-05-22,2856.27,-0.002824365652362215
2019-05-23,2822.24,-0.011914139769699683
2019-05-24,2826.06,0.001353534780883292
2019-05-28,2802.39,-0.008375618352052028
2019-05-29,2783.02,-0.0069119572935958384
2019-05-30,2788.86,0.0020984398243635294
2019-05-31,2752.06,-0.013195355808466647
2019-06-03,2744.45,-0.0027652013400870645
2019-06-04,2803.27,0.021432345278653342
2019-06-05,2826.15,0.008161896642135735
2019-06-06,2843.49,0.006135555437609463
2019-06-07,2873.34,0.010497663083042452
2019-06-10,2886.73,0.0046600819951694294
2019-06-11,2885.72,-0.00034987685027698667
2019-06-12,2879.84,-0.002037619727485618
2019-06-13,2891.64,0.004097449858325275
2019-06-14,2886.98,-0.0016115422390061696
2019-06-17,2889.67,0.0009317695307899942
2019-06-18,2917.75,0.009717372571954597
2019-06-19,2926.46,0.002985176934281464
2019-06-20,2954.18,0.009472195075278522
2019-06-21,2950.46,-0.0012592326804730103
2019-06-24,2945.35,-0.001731933325650914
2019-06-25,2917.38,-0.009496324715228988
2019-06-26,2913.78,-0.0012339839170762978
2019-06-27,2924.92,0.003823212459416858
2019-06-28,2941.76,0.005757422425228809
2019-07-01,2964.33,0.007672277820080398
2019-07-02,2973.01,0.0029281490252435205
2019-07-03,2995.82,0.007672358989710748
2019-07-05,2990.41,-0.0018058494836139527
2019-07-08,2975.95,-0.004835457345313876
2019-07-09,2979.63,0.0012365799156572876
2019-07-10,2993.07,0.004510627158405667
2019-07-11,2999.91,0.002285278994477169
2019-07-12,3013.77,0.004620138604158219
2019-07-15,3014.3,0.00017585947169163063
2019-07-16,3004.04,-0.0034037753375577573
2019-07-17,2984.42,-0.006531204644412147
2019-07-18,2995.11,0.0035819355184592006
2019-07-19,2976.61,-0.0061767347442999165
2019-07-22,2985.03,0.0028287212634507952
2019-07-23,3005.47,0.006847502370160408
2019-07-24,3019.56,0.00468811866363672
2019-07-25,3003.67,-0.00526235610486292
2019-07-26,3025.86,0.007387629133693174
2019-07-29,3020.97,-0.00161606948107329
2019-07-30,3013.18,-0.002578641959370631
2019-07-31,2980.38,-0.010885509660889747
2019-08-01,2953.56,-0.008998852495319398
2019-08-02,2932.05,-0.0072827367651240316
2019-08-05,2844.74,-0.02977780051499812
2019-08-06,2881.77,0.013017006826634425
2019-08-07,2883.98,0.0007668897934256513
2019-08-08,2938.09,0.01876226603513209
2019-08-09,2918.65,-0.006616543400644659
2019-08-12,2882.7,-0.0123173384955374
2019-08-13,2926.32,0.015131647413882954
