CAR_3_Days,CAR_10_Days,CAR_30_Days,Earnings_Call_Date,Earnings_Surprise,Firm_Size,method_2,Category
-0.6406091252982345,-0.5235281140235949,-0.6856265656159756,2022-11-03,0.3217821782178217,1519794150.0,0.0320752129190222,Bullish
-0.4223221966957681,-0.3405725235932226,-0.4965116890527287,2021-12-02,0.2608695652173912,46456994340.0,0.338218125156542,Neutral
-0.3624703051691419,-0.419691840326329,-0.0827760982042076,2022-07-21,0.3029315960912052,26299351050.0,0.1141848170695247,Bullish
-0.2886130026655869,-0.3040713278692861,-0.5166472618032447,2023-08-08,0.0294117647058822,18444508200.0,0.5734184420048283,Bullish
-0.2597960821903606,-0.2816308738045541,-0.2048325008803902,2023-10-25,-0.0530973451327432,19205094070.0,-0.190350348580005,Bullish
-0.2507032075237798,-0.2861762934561674,-0.2020910969991498,2021-05-05,0.0,3103978320.0,0.4864752769289742,Bullish
-0.2391841011915774,-0.2571034228346812,-0.3809126909515082,2022-08-31,-0.2068965517241378,22250482245.0,0.2149021448637808,Bullish
-0.2388123208940276,-0.3425149107092247,-0.3744414466028686,2022-02-10,0.2954545454545453,16761461997.0,0.3305030332395747,Bullish
-0.224888686998757,-0.2250712542281349,-0.224828998177211,2023-08-03,0.1176470588235293,59183712000.0,0.3656968792207625,Neutral
-0.2179632248994067,0.0050441420141281,-0.1429096446413742,2023-02-08,0.0891089108910891,4761219534.0,0.0785677706775795,Bullish
-0.2139142353362427,-0.076382397288768,-0.2075307573546025,2022-05-05,0.2298850574712644,45800040000.0,0.3727393024830622,Neutral
-0.204023600948633,-0.2713982919326649,-0.066702441495825,2023-11-07,-0.1818181818181818,9332250000.0,0.7411978514393841,Bullish
-0.1909919473286346,-0.0696255352768906,-0.0471838676509579,2022-06-09,-0.1739130434782609,17525988480.0,0.3621604017122206,Bullish
-0.1824894777604598,-0.2025135065052284,-0.2267386295203234,2022-10-27,0.0423572744014733,14573470000.0,0.5288833656598322,Bullish
-0.1816204260037199,-0.2345609341500338,-0.3633998087752119,2023-08-03,-0.0532544378698224,32349146250.0,0.3588861738815912,Bearish
-0.1793512321946903,-0.2939403757350283,-0.462217773249288,2022-11-03,0.0896860986547086,12653096400.0,0.0659063030345095,Bullish
-0.1791892351593513,-0.2219742248363079,-0.2427190840890994,2023-11-09,0.1379310344827587,37594961740.0,0.3471233438358916,Bearish
-0.1726841734295917,-0.1807926180910437,-0.1228352446754505,2023-03-01,0.358974358974359,8805795770.0,0.6632399961124672,Bullish
-0.1709940304144263,-0.2005629519458504,-0.1769253322038125,2022-02-23,0.1571637426900585,101067913430.0,0.2501177026474001,Neutral
-0.1702256263371671,-0.2477028704510694,-0.1016287406604289,2020-08-05,0.025,13341000000.0,0.0486916351819624,Bullish
-0.1694892138939132,-0.2396378037141408,0.1903836698823264,2023-11-07,-0.1,8464833721.0,0.4690334600686241,Bullish
-0.1694513921465897,-0.2003223096760797,-0.1755494597241239,2022-10-27,-0.0161290322580645,52893270000.0,0.096306293007536,Bearish
-0.1675533473785043,-0.1601156067721461,-0.0788716948260522,2023-05-25,0.0014556040756913,24070199040.0,0.5601298203180125,Bearish
-0.1674474281028934,-0.2793891906280725,-0.1821591394653816,2020-02-24,0.0810810810810811,22946910000.0,0.417171330117256,Bullish
-0.1646362662467049,-0.2101765101596843,-0.3307920746274662,2023-04-26,0.076923076923077,27131584200.0,0.0325026288761205,Bearish
-0.1628906417679475,-0.0847955961050328,-0.3315120174666114,2021-12-01,0.1666666666666668,44713278150.0,0.4250775629025807,Bearish
-0.1612972661247262,0.090654987331653,0.1481381173463254,2022-03-10,0.0,18355551660.0,0.3683663294144048,Bullish
-0.1595004280230048,-0.1756470063933426,-0.0785071876245042,2023-11-02,0.1388888888888888,44050591000.0,0.2836477933065981,Bearish
-0.159325825386331,-0.1303155041207799,-0.050501461408405,2023-05-04,0.0135135135135135,21794126770.0,-0.1845099577258066,Bearish
-0.1571587664102206,-0.1580174538077776,-0.0415253660778105,2022-03-02,0.0227272727272727,35634018680.0,0.0614877683647205,Bearish
-0.1551820641408034,-0.0267242163367311,-0.0934885628038242,2021-04-28,-0.0540540540540541,10400800920.0,0.2904263335392931,Bullish
-0.1550611167753887,-0.0945469591606983,-0.0044515440477451,2020-11-04,0.1515151515151514,13430564100.0,0.6091163574482303,Bullish
-0.1528184174851669,-0.1212828104665258,-0.2126858230870636,2020-08-05,0.2314814814814814,29408904000.0,0.4277523374995907,Bullish
-0.1512547100635159,-0.0867138501617457,-0.0378492924601765,2020-03-18,0.0131578947368421,35279475000.0,0.1137922335137395,Bearish
-0.1509106263793519,-0.1784347667039355,-0.198108028292356,2023-11-29,0.2195121951219513,12051536830.0,0.6315667943586019,Bullish
-0.1504150497916316,-0.1925118710219514,-0.2664598845529227,2023-08-03,0.1142857142857144,44959349800.0,0.4192417827165566,Bearish
-0.1486642612987108,-0.1747090448537656,-0.209135857128078,2023-07-18,0.0055555555555555,19397952000.0,0.1081686278477252,Bullish
-0.1485746046473086,-0.2407930892754949,-0.1362774190494196,2022-08-03,0.0909090909090908,49436256000.0,0.4196325965753033,Bearish
-0.1478625537316241,-0.1152576071704176,-0.1107159877441512,2020-04-21,-0.0625,3370178843.0,0.1541053500462964,Bullish
